Invoice ID,Line,Customer ID,Product ID,Size,Color,Unit Price,Quantity,Date,Discount,Line Total,Store ID,Employee ID,Currency,Currency Symbol,SKU,Transaction Type,Payment Method,Invoice Total
INV-US-001-03558782,1,20085,270,M,,21,1,1/1/2023 20:38,0,21,1,5,USD,$,FELI270-M-,Sale,Cash,21
RET-US-001-03558763,1,8286,1395,M,,95.5,1,1/1/2023 0:00,0,-95.5,1,6,USD,$,MASU1395-M-,Return,Cash,-95.5
INV-US-001-03558783,1,65756,1624,M,TURQUOISE,37,1,1/1/2023 19:51,0.4,22.2,1,12,USD,$,MACO1624-M-TURQUOISE,Sale,Credit Card,58.8
INV-US-001-03558783,2,65756,2768,M,RED,61,1,1/1/2023 19:51,0.4,36.6,1,12,USD,$,MACO2768-M-RED,Sale,Credit Card,58.8
INV-US-001-03558784,1,3557,2899,L,BEIGE,30.5,1,1/1/2023 20:31,0.4,18.3,1,11,USD,$,MASW2899-L-BEIGE,Sale,Credit Card,80.2
INV-US-001-03558784,2,3557,10,M,,22,1,1/1/2023 20:31,0,22,1,11,USD,$,FELI10-M-,Sale,Credit Card,80.2
INV-US-001-03558784,3,3557,2586,L,BEIGE,66.5,1,1/1/2023 20:31,0.4,39.9,1,11,USD,$,MACO2586-L-BEIGE,Sale,Credit Card,80.2
INV-US-001-03558785,1,47322,1798,S,,17,1,1/1/2023 18:25,0,17,1,7,USD,$,FESH1798-S-,Sale,Credit Card,17
INV-US-001-03558786,1,2131,236,M,GREEN,25.5,1,1/1/2023 18:10,0.4,15.3,1,10,USD,$,FESW236-M-GREEN,Sale,Cash,15.3
INV-US-001-03558787,1,49928,607,M,,35.5,1,1/1/2023 18:31,0,35.5,1,13,USD,$,FESP607-M-,Sale,Credit Card,35.5
RET-US-001-03558767,1,14906,2924,XXL,NEUTRAL,54,1,1/1/2023 0:00,0,-32.4,1,13,USD,$,MACO2924-XXL-NEUTRAL,Return,Credit Card,-32.4
INV-US-001-03558788,1,49153,1505,M,LILAC,37,1,1/1/2023 18:11,0.4,22.2,1,9,USD,$,CHCO1505-M-LILAC,Sale,Cash,113.7
INV-US-001-03558788,2,49153,1213,M,,91.5,1,1/1/2023 18:11,0,91.5,1,9,USD,$,MASU1213-M-,Sale,Cash,113.7
INV-US-001-03558789,1,43808,2737,M,,19.5,1,1/1/2023 13:19,0,19.5,1,13,USD,$,FESK2737-M-,Sale,Credit Card,19.5
INV-US-001-03558790,1,31890,2153,P,BLACK,19,1,1/1/2023 17:25,0,19,1,5,USD,$,CHBA2153-P-BLACK,Sale,Credit Card,19
INV-US-001-03558791,1,11029,1323,M,YELLOW,47,1,1/1/2023 14:03,0.4,28.2,1,13,USD,$,CHCO1323-M-YELLOW,Sale,Credit Card,28.2
INV-US-001-03558792,1,23228,1874,S,GOLD,41,1,1/1/2023 20:22,0.4,24.6,1,6,USD,$,FESW1874-S-GOLD,Sale,Cash,24.6
INV-US-001-03558793,1,29942,947,,,13.5,3,1/1/2023 13:13,0,40.5,1,6,USD,$,FEAC947--,Sale,Credit Card,40.5
INV-US-001-03558794,1,18462,2338,P,,29,1,1/1/2023 17:08,0.4,17.4,1,9,USD,$,CHSW2338-P-,Sale,Credit Card,17.4
INV-US-001-03558795,1,23829,455,L,,35.5,1,1/1/2023 18:18,0.4,21.3,1,11,USD,$,MASW455-L-,Sale,Credit Card,21.3
INV-US-001-03558796,1,875,1718,L,SILVER,43,1,1/1/2023 19:27,0.4,25.8,1,11,USD,$,FESW1718-L-SILVER,Sale,Credit Card,25.8
INV-US-001-03558797,1,70429,1372,,,4.5,1,1/1/2023 17:59,0,4.5,1,10,USD,$,MAAC1372--,Sale,Credit Card,4.5
INV-US-001-03558798,1,19702,1531,P,NEUTRAL,30.5,1,1/1/2023 20:25,0.4,18.3,1,5,USD,$,CHCO1531-P-NEUTRAL,Sale,Credit Card,18.3
INV-US-001-03558799,1,21979,377,M,LILAC,42,1,1/1/2023 15:19,0.4,25.2,1,7,USD,$,MASW377-M-LILAC,Sale,Credit Card,25.2
INV-US-001-03558800,1,2404,688,L,PINK,31.5,1,1/1/2023 8:24,0.4,18.9,1,11,USD,$,MACO688-L-PINK,Sale,Credit Card,18.9
INV-US-001-03558801,1,38998,2906,,,22.5,1,1/1/2023 8:37,0,22.5,1,10,USD,$,MAAC2906--,Sale,Credit Card,22.5
INV-US-001-03558802,1,32919,495,M,YELLOW,41.5,1,1/1/2023 13:39,0.4,24.9,1,10,USD,$,FECO495-M-YELLOW,Sale,Credit Card,24.9
INV-US-001-03558803,1,5698,81,L,YELLOW,55,1,1/1/2023 16:22,0,55,1,12,USD,$,FEDR81-L-YELLOW,Sale,Credit Card,55
INV-US-001-03558804,1,16210,1859,L,GREEN,37,1,1/1/2023 20:07,0.4,22.2,1,7,USD,$,MASW1859-L-GREEN,Sale,Cash,22.2
INV-US-001-03558805,1,66905,2411,M,,24,1,1/1/2023 14:53,0,24,1,5,USD,$,MAUN2411-M-,Sale,Credit Card,24
INV-US-001-03558806,1,29903,860,S,RED,44.5,1,1/1/2023 8:48,0.4,26.7,1,10,USD,$,FESW860-S-RED,Sale,Cash,44.2
INV-US-001-03558806,2,29903,2429,,,17.5,1,1/1/2023 8:48,0,17.5,1,10,USD,$,FEAC2429--,Sale,Cash,44.2
INV-US-001-03558807,1,712,2224,M,GOLD,34.5,1,1/1/2023 17:46,0,34.5,1,7,USD,$,MAT-2224-M-GOLD,Sale,Credit Card,34.5
INV-US-001-03558808,1,36145,2673,P,RED,27.5,1,1/1/2023 16:30,0,27.5,1,12,USD,$,CHBA2673-P-RED,Sale,Cash,59.5
INV-US-001-03558808,2,36145,2840,36,,32,1,1/1/2023 16:30,0,32,1,12,USD,$,FEPA2840-36-,Sale,Cash,59.5
INV-US-001-03558809,1,19800,939,S,,56.5,2,1/1/2023 19:07,0,113,1,6,USD,$,FEDR939-S-,Sale,Credit Card,113
INV-US-001-03558810,1,332,299,L,BLACK,24,1,1/1/2023 19:57,0.4,14.4,1,11,USD,$,MASW299-L-BLACK,Sale,Credit Card,14.4
INV-US-001-03558811,1,72967,1049,M,,30.5,1,1/1/2023 16:04,0,30.5,1,10,USD,$,FESP1049-M-,Sale,Credit Card,30.5
INV-US-001-03558812,1,56885,148,XL,,24,1,1/1/2023 19:28,0,24,1,13,USD,$,MASP148-XL-,Sale,Credit Card,24
INV-US-001-03558813,1,134599,2494,G,,30.5,1,1/1/2023 20:21,0.4,18.3,1,9,USD,$,CHSW2494-G-,Sale,Credit Card,18.3
INV-US-001-03558814,1,1350,380,44,,76,1,1/1/2023 12:31,0,76,1,5,USD,$,MAPA380-44-,Sale,Credit Card,135.7
INV-US-001-03558814,2,1350,1635,P,,53.5,1,1/1/2023 12:31,0.4,32.1,1,5,USD,$,CHCO1635-P-,Sale,Credit Card,135.7
INV-US-001-03558814,3,1350,1873,S,BURGUNDY,46,1,1/1/2023 12:31,0.4,27.6,1,5,USD,$,FECO1873-S-BURGUNDY,Sale,Credit Card,135.7
INV-US-001-03558815,1,13750,1851,S,,16.5,1,1/1/2023 16:24,0,16.5,1,6,USD,$,FET-1851-S-,Sale,Credit Card,16.5
INV-US-001-03558816,1,50931,2836,S,MUSTARD,33,1,1/1/2023 15:29,0.4,19.8,1,12,USD,$,FESW2836-S-MUSTARD,Sale,Credit Card,19.8
INV-US-001-03558817,1,171573,637,L,GREEN,42,1,1/1/2023 11:09,0.4,25.2,1,13,USD,$,MASW637-L-GREEN,Sale,Credit Card,25.2
INV-US-001-03558818,1,129784,492,P,,29.5,1,1/1/2023 14:02,0.4,17.7,1,5,USD,$,CHSW492-P-,Sale,Credit Card,17.7
INV-US-001-03558819,1,10680,104,,,18.5,1,1/1/2023 20:08,0,18.5,1,11,USD,$,CHAC104--,Sale,Credit Card,35
INV-US-001-03558819,2,10680,957,M,TURQUOISE,16.5,1,1/1/2023 20:08,0,16.5,1,11,USD,$,CHBA957-M-TURQUOISE,Sale,Credit Card,35
INV-US-001-03558820,1,2001,2472,S,,38.5,1,1/1/2023 20:02,0.4,23.1,1,13,USD,$,FESW2472-S-,Sale,Credit Card,23.1
INV-US-001-03558821,1,709,2835,M,BLUE,36.5,1,1/1/2023 10:54,0.4,21.9,1,6,USD,$,FECO2835-M-BLUE,Sale,Credit Card,21.9
INV-US-001-03558822,1,51077,1265,L,,92.5,1,1/1/2023 13:11,0,92.5,1,11,USD,$,MASU1265-L-,Sale,Cash,92.5
INV-US-001-03558823,1,8756,543,P,WHITE,42.5,1,1/1/2023 20:03,0.4,25.5,1,5,USD,$,CHCO543-P-WHITE,Sale,Credit Card,25.5
